"Coluna A","Coluna B","Coluna C"
716,155,754
480,125,760
230,846,774
540,289,738
830,613,111
313,215,293
972,611,128
389,190,797
546,140,820
198,916,723
122,238,652
727,525,348
794,193,349
417,502,887
478,903,438
773,399,499
506,520,295
462,763,683
356,659,262
479,867,741
619,413,506
699,398,648
115,224,553
687,178,866
626,525,797
454,547,959
836,463,784
219,103,631
903,948,493
713,841,818
702,556,688
519,598,340
460,280,705
363,818,486
370,638,736
680,171,974
610,366,106
707,960,846
251,943,211
551,766,596
266,493,595
623,281,276
877,750,462
549,915,553
778,723,468
663,510,128
987,327,179
159,862,258
323,569,126
471,620,846
459,777,417
749,414,938
793,630,408
693,861,946
682,511,914
602,171,377
943,435,991
901,995,110
708,469,165
297,256,366
714,868,340
616,437,910
568,942,508
526,726,933
641,449,864
971,393,138
646,413,884
370,936,281
303,748,906
318,688,118
372,225,772
524,817,846
860,124,178
984,596,691
797,828,715
294,218,603
670,152,145
204,250,719
703,748,323
534,589,932
607,436,456
881,137,605
408,535,131
638,427,290
866,593,304
592,296,136
939,649,321
725,116,448
785,877,632
861,192,314
250,479,591
686,881,638
107,616,357
230,779,600
989,916,543
334,813,698
514,507,643
875,760,142
102,184,813
441,962,791
